Time (UT), 	 6-12 keV, 	 12-25 keV, 	 25-50 keV, 	 50-100 keV, 	 Attenuator State, 	 Eclipse State 
2011-02-15T01:42:04.000,	9.78,	6.0,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:42:08.000,	11.32,	6.0,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:42:12.000,	11.32,	6.0,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:42:16.000,	11.32,	5.6,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:42:20.000,	11.32,	6.0,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:42:24.000,	10.3,	5.2,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:42:28.000,	9.27,	6.0,	18.46,	43.91,	0.0,	0.0
2011-02-15T01:42:32.000,	10.81,	6.4,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:42:36.000,	9.78,	5.6,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:42:40.000,	9.78,	6.0,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:42:44.000,	9.78,	6.0,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:42:48.000,	9.27,	5.6,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:42:52.000,	9.78,	6.4,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:42:56.000,	9.78,	6.0,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:43:00.000,	8.75,	6.4,	14.77,	45.82,	0.0,	0.0
2011-02-15T01:43:04.000,	8.75,	5.6,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:43:08.000,	8.24,	5.2,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:43:12.000,	7.72,	5.6,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:43:16.000,	7.72,	6.0,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:43:20.000,	8.24,	5.2,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:43:24.000,	8.24,	5.2,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:43:28.000,	7.72,	5.6,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:43:32.000,	8.75,	6.0,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:43:36.000,	8.24,	4.8,	14.77,	45.82,	0.0,	0.0
2011-02-15T01:43:40.000,	7.21,	5.6,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:43:44.000,	8.24,	5.6,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:43:48.000,	6.95,	5.2,	18.46,	43.91,	0.0,	0.0
2011-02-15T01:43:52.000,	7.21,	5.2,	16.62,	42.0,	0.0,	0.0
2011-02-15T01:43:56.000,	7.21,	5.2,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:44:00.000,	7.21,	5.2,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:44:04.000,	7.72,	5.2,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:44:08.000,	7.72,	5.6,	14.77,	42.0,	0.0,	0.0
2011-02-15T01:44:12.000,	7.21,	5.2,	16.62,	42.0,	0.0,	0.0
2011-02-15T01:44:16.000,	6.95,	5.2,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:44:20.000,	7.72,	4.8,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:44:24.000,	7.72,	5.6,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:44:28.000,	6.95,	5.2,	16.62,	42.0,	0.0,	0.0
2011-02-15T01:44:32.000,	7.72,	5.2,	16.62,	42.0,	0.0,	0.0
2011-02-15T01:44:36.000,	8.24,	4.8,	14.77,	42.0,	0.0,	0.0
2011-02-15T01:44:40.000,	9.27,	6.0,	14.77,	42.0,	0.0,	0.0
2011-02-15T01:44:44.000,	9.27,	6.0,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:44:48.000,	10.81,	6.4,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:44:52.000,	9.78,	6.4,	16.62,	42.0,	0.0,	0.0
2011-02-15T01:44:56.000,	12.87,	6.4,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:45:00.000,	11.84,	6.4,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:45:04.000,	14.41,	7.2,	16.62,	42.0,	0.0,	0.0
2011-02-15T01:45:08.000,	13.9,	8.8,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:45:12.000,	17.5,	9.6,	16.62,	42.0,	0.0,	0.0
2011-02-15T01:45:16.000,	18.53,	8.8,	14.77,	43.91,	0.0,	0.0
2011-02-15T01:45:20.000,	20.59,	12.0,	16.62,	40.09,	0.0,	0.0
